lifeboat,boat_name,boat_info
1,Titanic Emergency Lifeboat No. 1,"The fourth boat lowered on the starboard side. When boats 7, 5 and 3 had been filled and lowered, few people remained on the forward starboard boat deck. Sir Cosmo Duff Gordon with his wife and her secretary were among those few. They entered boat 1 as did two American gentlemen; one of whom (Charles Stengel) had seen his wife into boat 5 a few minutes earlier. Five stokers were ordered in as well as lookout Symons, in charge of the boat, and an able seaman. There were 12 in it, whereas the capacity was 40. It seems likely that the boat was lowered away with so few people in it so that the two collapsible boats nearby could be sent away as soon as possible. Later, Sir Cosmo would be accused of bribing the crew in the boat in order for them not to row back to the wreck. Apparently, this was a misunderstanding; Sir Cosmo tried to be nice and wanted the crew to get five pounds each to get new material when they reached safety.

Boat 1 was the second boat to reach the Carpathia."
2,Titanic Emergency Lifeboat No. 2,"The seventh boat loaded from the port side. Fourth Officer Boxhall was sent in charge of this boat and he had another sailor, a steward and a kitchen hand with him. Eight ladies from first class, including sisters Charlotte Appleton and Malvina Cornell found seats in the boat and six passengers from third class were there as well; Mrs. Coutts and her two young sons and the Kink family. In all, there were probably no more than 18 people in it. Boat 2 was the first boat to reach the Carpathia, shortly after 4 o'clock in the morning."
3,Titanic Lifeboat No. 3,"The third boat to be lowered on the starboard side. Officer Murdoch had just lowered boats 7 and 5 and directed the lowering of No. 3. Passengers calmly entered the boat, men and women, and when no more were around, about ten stokers entered the boat which was then lowered away. Henry Sleeper Harper brought his small dog with him. Thomas Cardeza entered the boat with his valet, his mother and her maid. Later, it was rumoured that he had dressed up as a sailor to be rescued (untrue). Mrs. Cardeza was quoted as having seen Ismay choosing the lifeboat crew for the boat in which he, Ismay, escaped, and Mr. Cardeza allegedly was one of those. Again, untrue.

Boat 3 was lowered with about 40 people in it; Thomas Cardeza counted 38 heads, not including those on the floor, Mrs. Spedden thought there were 40, including 10 or 12 stokers, Wilfred Seward of the crew estimated 50, George Moore, who was in charge of the boat, said 32 and Elizabeth Shutes thought there were 36.

It seems likely that boat 3 was lowered with 36 - 38 people in it and it was possibly the fifth or sixth boat to reach the Carpathia."
4,Titanic Lifeboat No. 4,"The eighth boat to be lowered from the port side. The boat had been lowered from the boat deck to A deck and there was some trouble before passengers could start entering it. Some of the socially most well-known ladies were gathered around the boat; the Astors, the Carters, the Wideners and the Thayers. When John Jacob Astor asked whether he might join his wife in the boat, seeing as she was in a ''delicate condition,'' he was stopped from doing so. Women and children only. When John Ryerson, age 13, was about to enter it, an officer is said to have tried to stop him, as he was old enough to stay with the men. He was let in, in the end. Eventually, about 30 passengers, mainly ladies from first class, but also some from second class, including Mrs. Richards with two small sons and also her mother, were in it. Quartermaster Walter Perkis was put in charge and there were two other seamen with him. When lowered away, at least one more crewman came down the falls and while they were trying to get away from the sinking ship, rather close to the end, eight crewmembers were plucked from the sea; Alfred White, Thomas Dillon, Frederick Scott, Samuel Hemming, Frank Prentice, Andrew Cunningham, William Lyons and Sidney Siebert; the two last ones so overcome with cold that they died in the boat shortly after having been hauld aboard. With now some 40 or 42 people on board, they received another five or six from boat 14, to which they had been attached. When 14 left them, they went, together with boat 12, to rescue those on boat B and received another 6 or 8 people from that boat and reached the Carpathia late, with perhaps 55 living survivors on board."
5,Titanic Lifeboat No. 5,"The second boat lowered on the starboard side. Third Officer Pitman was sent in charge of the boat, having five other crew with him as well as two stewardesses. Passengers were still a bit reluctant to enter the boats at this time.

""In our party,"" said Mr. Behr, ""were Mr and Mrs R. L. Beckwith and Mrs Beckwith's daughter, Miss Helen W. Newsom, all of New York. As we started out from our staterooms orders were being shouted to put on life belts. We did so quickly and then ran for the top deck, the superdeck. There was a strained calmness aboard the ship. We met Captain Smith and he shouted to all to put on life belts. Most of the passengers were gathering on deck A to get into the lifeboats. Mr Ismay was directing the launching. When Mrs Beckwith reached the second boat she asked Mr Ismay if the men could get in too. 'Certainly, Madam,' answered Mr Ismay. Then we stepped into the boat. After we were in I heard Mr Ismay calling out, 'Are there any more to get into this boat? None appeared. Mr Ismay was calm and cool and giving orders without any indication of fear. We waited three minutes, and when no one else appeared he directed that the boat be lowered. The officer in charge of our boat did not dare row back toward the Titanic for fear we would be swamped by some of the hundreds we could see swimming not far away. We floated until dawn and were about one mile away from where the Titanic went down when the Carpathia picked us up...."" New York Herald, Saturday, April 20, 1912

Several couples entered the boat, including the Kimballs, Goldenbergs, Chambers and Harders. Mrs. Stengel did not want to leave her husband. He stayed on the ship but later found refuge in boat 1. Mrs. Warren entered the boat with Miss Ostby and believed Mr Warren had followed her into the boat, but he stayed on the ship and was lost. When no more women were found, some men passengers were allowed to enter it. When the boat was in the process of being lowered, some people were slightly anxious, as it seemed they were going to 'turn turtle.' After having rowed away, they encountered boat 7 in mid-ocean and four people changed boats (cf. boat 7). Officer Pitman said that he wanted to row back to look for survivors in the water, but apparently, passengers persuaded him not to do this.

Mrs Warren thought there were 35 or 36 people in the boat, Officer Pitman estimated over 50, Karl Behr thought there were about 40, Mrs Cassebeere thought 37 and Dr Frauenthal stated 34, half of whom were men.

There were probably 35 or 36 people in the boat when lowered. No. 5 was one of the first boats to reach the Carpathia."
6,Titanic Lifeboat No. 6,"The second boat lowered on the port side (even though No. 4 had been lowered to deck A before this, so it would seem to those in the boat that they were the second to go). Not many people seemed willing to step into the lifeboats at this stage and only women were allowed in, the men having to stay behind. Some ladies were, however, persuaded to enter; Mrs. Rothschild (who very likely carried a small dog with her into the boat), Mrs. Smith, Mrs. Chibnall and her daughter, Miss Bowerman and others stepped in, finally. Mrs. Margaret Brown stated she was more or less thrown into it when it was about to be lowered away. Major Peuchen, who was allowed in because there were too few sailors around, said there were 20 women in it when they rowed away. Quartermaster Robert Hichens was put in charge and he seemed slightly terrified. Some ladies in the boat accused him of being a coward and/or drunk and there seems to have been some tension in the boat when rowing away. One young man was found in the boat and some believed him to be a stowaway, others claimed the Captain had ordered him in. In all, there were probably a maximum of 24 people in the boat when lowered away. Later in the night, they encountered boat 16 and took a fireman from that boat to help with the rowing."
7,Titanic Lifeboat No. 7,"The first lifeboat lowered on the starboard side. There was no order, according to some passengers, for ''women and children first.'' Three sailors were ordered in to man the boat. Murdoch, Pitman and possibly Ismay were near it when lowered. There was no disturbance near this boat. After having been lowered, they encountered boat 5 and four people changed lifeboats; Mrs. Dodge and her son for example, due to the fact that Mrs. Dodge wanted to row back to pick up survivors but those in her own boat, No. 5, did not turn back. Alfred Nournay is said to have fired shots from his gun during the night, at least according to Antoinette Flegenheim(er). Lookout Hogg, according to Dorothy Gibson, wrapped a sail around one or two people in the boat since they were so cold. Margaret Hays brought her Pomeranian dog into the boat, which was not very crowded. Robert Daniel said he had jumped into the sea and had been swimming around for a long time when a boat picked him up. In one interview he said that Mrs. Dodge wrapped a blanked around him after his rescue. It is probably safe to surmise that Daniel was in boat 7 when it was lowered away, as Col. Gracie suggested in his book.

Estimates vary regarding how many there were in the boat; the Bishops thought 28 (but some may have been missed when they counted), James McGough also thought 28, Gilbert Tucker thought there were 29, Mrs. Flegenheimer estimated 30 and Alfred Omont thought they were 29. No. 7 was one of the first boats to be picked up. There were 28 or 29 people in the boat when lowered."
8,Titanic Lifeboat No. 8,"Very likely the first boat lowered on the port side. The officers were strict on the port side of the ship and allowed only women passengers to enter the boats. Mrs. Penasco was persuaded to enter it together with her maid, Fermina Oliva. When the lifeboat was in the water, she realized her husband probably would not survived and had to be comforted by the Countess of Rothes. About 20 or 22 ladies had found seats in the boat, including Mrs. Straus' maid and Mrs. Allison's maid. There were four crew; two seamen, a steward and a kitchen hand. There were probably about 26 people in the boat. In the words of Mrs. Swift:

''There were twenty-two persons, including three seamen and a steward, aboard our boat, and as we were suspended over the water far below Captain Smith tucked a loaf of bread in the bow, where there were two casks of water....Slowly we dropped down, down and down until the keel of our tiny craft struck the sea and the captain shouted to pull over to a red light in the distance...we also began to realize that the seamen were not oarsmen. One was unable to pull the long heavy oar with any strength and Mrs. Swift took his place....the weak and unskilled steward and some of the other men sat quietly in one end of the boat. The countess of Rothes was an expert oarswoman.' (New York Herald, Friday, April 19, 1912)"
9,Titanic Lifeboat No. 9,"The fifth boat to be lowered from the starboard side. Purser McElroy and First Officer Murdoch seem to have supervised the loading of this boat together. Boats 1, 3, 5 and 7 held only passengers from first class besides the crew. In boat 9, the situation changed. Mrs Futrelle had been separated from her husband a bit earlier on in the night and had ended up near No. 9 into which she stepped. She believed there were about 30 people in it, including 17 crewmen; she thought they were stewards and cooks. Mrs. Aubert and her maid also entered the boat and apparently, Mrs. Aubert was in somewhat of a state during the whole rescue operation. Some ladies from second class were assisted into the boat by the six or so stewards that Purser McElroy had ordered into the boat to help passengers. When no more ladies were to be found in the vicinity, some men passengers were let in. Edward Beane had helped his wife into the ''ninth boat,'' and seeing there was room, he joined her in the boat; in a long interview in the Syracuse Herald, he said the boat was only half-filled and that he had had to jump into the sea and swim for a long time to reach it. Yet, this was not so, since boat 9 picked up nobody from the sea. He and a few other gentlemen simply entered the boat from the deck. In all, there seem to have been 35-40 people in it; twelve ladies, six or seven men passengers as well as perhaps 18 male crew members."
10,Titanic Lifeboat No. 10,"The fourth/fifth/sixth boat to be lowered from the port side. Some claim that No. 10 was the last boat lowered from the port side. Chief Baker Joughin was near this boat and said that he more or less threw people into it. Mrs. Hakkarainen, from third class, may have been the woman who nearly fell into the sea. ""One of the officers pointed at me saying, 'Room for one more lady. Come on, hurry!' As I stepped into the boat, it was already moving downward. I lost my balanced (sic), almost falling between the lifeboat and ship until someone in the lifeboat grabbed my arm and pulled me into a seat. On the way down we stopped at a lower deck and picked up one more lady. Our lifeboat did not return to the spot where the Titanic went down. Our lifeboat reached the Carpathia at 7.30 a. m. We were one of the last boats to be picked up. I finally located Anna Sjöblom, who had knocked on my cabin door to awaken me. We had become separated in the rush to the upper deck and had entered separate lifeboats."" (I'm going to see what has happened, chapter 7, pp. 9-13)

The youngest survivor, Millvina Dean, was in this boat together with her mother and brother. Her brother was taken care of by Mrs. Thorneycroft who was with them. There were perhaps seven or eight ladies from first class, possibly 15 or more second class passengers, including Mr. Hosono, who jumped into it at the last moment and possibly ten or twelve third class passengers apart from the four crew in it; a total of perhaps 40 people. When they encountered No. 14 and other boats, the two able seamen, Frank Evans and Edward Buley were transferred to No. 14. On the other hand, ten or twelve others were transferred into the boat from No. 14 and No. 10 arrived at the Carpathia with 50 or so, the last boat but one to be rescued."
