ticket,price
10482,£8 1s
110152,£86 10s
110413,£79 13s
110465,£52
110469,£26
110489,£26 11s
110564,£26 11s
110813,£75 5s
111163,£26
111240,£33 10s
111320,£38 10s
111361,£57 19s 7d
111369,£30
111426,£26 11s
111427,£26 11s
111428,£26 11s
112050,
112051,
112052,
112053,£30
112058,
112059,
11206,£8 1s
112277,£31
112377,£27 14s 5d
112378,£59 8s
112379,£39 12s
112901,£26 11s
113028,£26 11s
113038,£42 10s
113043,£28 10s
113044,£26
113050,£26 11s
113051,£27 15s
113054,£30 10s
113055,£26 11s
113056,£26
113059,£47 2s
113501,£30
113503,£211 10s
113505,£55
113509,£61 19s 7d
113510,£35
113514,£26 11s
113572,£80
113760,£120
113767,£50
113773,£53 2s
113776,£66 12s
113778,£26 11s
113780,£28 10s
113781,£151 16s
113783,£26 11s
113784,£35 10s
113786,£30 10s
113787,£30 10s
113788,£35 10s
113789,£52
113790,£26 11s
113791,£26 11s
113792,£26 11s
113794,£26 11s
113795,£26 11s
113796,£42 8s
113798,£31
113800,£26 11s
113801,£45 10s
113803,£53 2s
113804,£30 10s
113806,£53 2s
113807,£26 11s
1166,£12 10s 6d
11668,£21
11751,£52 11s 1d
11752,£26 5s 8d
11753,£52 11s 1d
11755,£39 12s
11765,£55 8s 10d
11767,£83 3s 2d
11769,£51 9s 7d
11770,£25 14s 10d
11771,£29 14s
11774,£29 14s
11778,£55 8s 10d
11813,£76 5s 10d
11967,£91 1s 7d
1222,£7 17s 7d
12233,£13
12460,£7 15s
12749,£93 10s
12750,£52
12998,£25 14s 10d
13032,£7 14s 8d
13049,£40 2s 6d
13050,£75 4s 10d
13213,£35 10s
13214,£30 10s
13236,£57 15s
13502,£77 19s 2d
13507,£55 18s
13508,£136 15s 7d
13509,£26 11s
13528,£21
13529,£26 5s
13531,£10 10s
13534,£21
13540,£10 10s
13567,£79 4s
13568,£49 10s
13695,£60
13905,£26
14208,£10 10s
14258,£10 10s
14260,£10 10s
14263,£10 10s
14266,£10 10s
14311,£7 15s
14312,£7 15s
14313,£7 15s
1478,£8 1s
14879,£73 10s
14885,£10 10s
14888,£10 10s
14973,£8 1s
15185,£10 10s
1585,£12 5s 6d
1601,£56 9s 11d
16966,£134 10s
16988,£30
17248,£10 10s
17318,£25 18s 6d
17368,£3 3s 5d
17369,£7 2s 10d
17421,£110 17s 8d
17453,£89 2s 1d
17463,£51 17s 3d
17464,£51 17s 3d
17465,£25 18s 7d
17466,£25 18s 7d
17473,£26 5s 9d
17474,£57
17475_Lind,£26 11s
17475_Silverthorne,£26 5s 9d
